run_name,seed,total_timesteps,best_cycle_length,best_avg_reward,model_path,result_path
ppo_steps300000_seed1,1,300000,5,3.827995358943028,ppo_seed_sweep_runs/models/ppo_steps300000_seed1.zip,ppo_seed_sweep_runs/results/ppo_steps300000_seed1.npy
ppo_steps300000_seed2,2,300000,23,0.36555398705875886,ppo_seed_sweep_runs/models/ppo_steps300000_seed2.zip,ppo_seed_sweep_runs/results/ppo_steps300000_seed2.npy
ppo_steps300000_seed3,3,300000,24,0.3763941823558154,ppo_seed_sweep_runs/models/ppo_steps300000_seed3.zip,ppo_seed_sweep_runs/results/ppo_steps300000_seed3.npy
ppo_steps300000_seed4,4,300000,24,0.3763941823558154,ppo_seed_sweep_runs/models/ppo_steps300000_seed4.zip,ppo_seed_sweep_runs/results/ppo_steps300000_seed4.npy
ppo_steps300000_seed5,5,300000,24,0.3763941823558154,ppo_seed_sweep_runs/models/ppo_steps300000_seed5.zip,ppo_seed_sweep_runs/results/ppo_steps300000_seed5.npy
ppo_steps1000000_seed1,1,1000000,4,5.221609537535538,ppo_seed_sweep_runs/models/ppo_steps1000000_seed1.zip,ppo_seed_sweep_runs/results/ppo_steps1000000_seed1.npy
ppo_steps1000000_seed2,2,1000000,23,0.36555398705875886,ppo_seed_sweep_runs/models/ppo_steps1000000_seed2.zip,ppo_seed_sweep_runs/results/ppo_steps1000000_seed2.npy
ppo_steps1000000_seed3,3,1000000,25,0.38611621077072256,ppo_seed_sweep_runs/models/ppo_steps1000000_seed3.zip,ppo_seed_sweep_runs/results/ppo_steps1000000_seed3.npy
ppo_steps1000000_seed4,4,1000000,4,5.8225171103511615,ppo_seed_sweep_runs/models/ppo_steps1000000_seed4.zip,ppo_seed_sweep_runs/results/ppo_steps1000000_seed4.npy
ppo_steps1000000_seed5,5,1000000,24,0.3763941823558154,ppo_seed_sweep_runs/models/ppo_steps1000000_seed5.zip,ppo_seed_sweep_runs/results/ppo_steps1000000_seed5.npy
