run_name,seed,total_timesteps,n_steps,learning_rate,ent_coef,best_cycle_length,best_avg_reward,model_path,result_path
ppo_3ball_steps300000_seed0_ns1024_lr1e-04_ent0,0,300000,1024,0.0001,0.0,20,0.6290625387201512,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns1024_lr1e-04_ent0.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns1024_lr1e-04_ent0.npy
ppo_3ball_steps300000_seed0_ns1024_lr1e-04_ent0.001,0,300000,1024,0.0001,0.001,20,0.7053442610063783,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns1024_lr1e-04_ent0.001.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns1024_lr1e-04_ent0.001.npy
ppo_3ball_steps300000_seed0_ns1024_lr3e-04_ent0,0,300000,1024,0.0003,0.0,22,0.7644273017357978,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns1024_lr3e-04_ent0.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns1024_lr3e-04_ent0.npy
ppo_3ball_steps300000_seed0_ns1024_lr3e-04_ent0.001,0,300000,1024,0.0003,0.001,20,0.7394393451218887,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns1024_lr3e-04_ent0.001.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns1024_lr3e-04_ent0.001.npy
ppo_3ball_steps300000_seed0_ns2048_lr1e-04_ent0,0,300000,2048,0.0001,0.0,21,0.7184895687690535,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns2048_lr1e-04_ent0.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns2048_lr1e-04_ent0.npy
ppo_3ball_steps300000_seed0_ns2048_lr1e-04_ent0.001,0,300000,2048,0.0001,0.001,20,0.7001875158815144,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns2048_lr1e-04_ent0.001.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns2048_lr1e-04_ent0.001.npy
ppo_3ball_steps300000_seed0_ns2048_lr3e-04_ent0,0,300000,2048,0.0003,0.0,22,0.7774415034488846,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns2048_lr3e-04_ent0.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns2048_lr3e-04_ent0.npy
ppo_3ball_steps300000_seed0_ns2048_lr3e-04_ent0.001,0,300000,2048,0.0003,0.001,23,0.7088818013428196,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns2048_lr3e-04_ent0.001.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns2048_lr3e-04_ent0.001.npy
ppo_3ball_steps300000_seed0_ns4096_lr1e-04_ent0,0,300000,4096,0.0001,0.0,20,0.6888937266014731,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns4096_lr1e-04_ent0.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns4096_lr1e-04_ent0.npy
ppo_3ball_steps300000_seed0_ns4096_lr1e-04_ent0.001,0,300000,4096,0.0001,0.001,20,0.7122358994334854,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns4096_lr1e-04_ent0.001.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns4096_lr1e-04_ent0.001.npy
ppo_3ball_steps300000_seed0_ns4096_lr3e-04_ent0,0,300000,4096,0.0003,0.0,21,0.756651402522848,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns4096_lr3e-04_ent0.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns4096_lr3e-04_ent0.npy
ppo_3ball_steps300000_seed0_ns4096_lr3e-04_ent0.001,0,300000,4096,0.0003,0.001,22,0.7780738800979805,ppo_3ball_tuning_runs/models/ppo_3ball_steps300000_seed0_ns4096_lr3e-04_ent0.001.zip,ppo_3ball_tuning_runs/results/ppo_3ball_steps300000_seed0_ns4096_lr3e-04_ent0.001.npy
