run_name,seed,lr,epsilon_decay,episodes,best_cycle_length,best_avg_reward,model_path,result_path
dqn_lr1e-03_decay0.9995_seed1,1,0.001,0.9995,5000,25,0.3895922329463929,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9995_seed1.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9995_seed1.npy
dqn_lr1e-03_decay0.9995_seed2,2,0.001,0.9995,5000,24,0.3900268277586925,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9995_seed2.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9995_seed2.npy
dqn_lr1e-03_decay0.9995_seed3,3,0.001,0.9995,5000,22,0.3479531218702501,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9995_seed3.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9995_seed3.npy
dqn_lr1e-03_decay0.9995_seed4,4,0.001,0.9995,5000,24,0.35976767819710903,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9995_seed4.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9995_seed4.npy
dqn_lr1e-03_decay0.9995_seed5,5,0.001,0.9995,5000,23,0.37855492649743466,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9995_seed5.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9995_seed5.npy
dqn_lr1e-03_decay0.9997_seed1,1,0.001,0.9997,5000,24,0.3739549736468632,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9997_seed1.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9997_seed1.npy
dqn_lr1e-03_decay0.9997_seed2,2,0.001,0.9997,5000,25,0.380452093328277,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9997_seed2.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9997_seed2.npy
dqn_lr1e-03_decay0.9997_seed3,3,0.001,0.9997,5000,25,0.3704057180367492,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9997_seed3.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9997_seed3.npy
dqn_lr1e-03_decay0.9997_seed4,4,0.001,0.9997,5000,23,0.3748867799209966,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9997_seed4.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9997_seed4.npy
dqn_lr1e-03_decay0.9997_seed5,5,0.001,0.9997,5000,25,0.3704057180367492,dqn_tiny_grid_runs/models/dqn_lr1e-03_decay0.9997_seed5.pt,dqn_tiny_grid_runs/results/dqn_lr1e-03_decay0.9997_seed5.npy
dqn_lr5e-04_decay0.9995_seed1,1,0.0005,0.9995,5000,23,0.345429498283292,dqn_tiny_grid_runs/models/dqn_lr5e-04_decay0.9995_seed1.pt,dqn_tiny_grid_runs/results/dqn_lr5e-04_decay0.9995_seed1.npy
